emg,ecg,,,,,
-230,489,,0.130380784,,0.005452891,13.0380784
-147,504,,0.799369418,,0.006369733,79.93694179
-11,517,,0.352997177,,-0.000896057,35.29971775
133,537,,0.207734498,,-0.008706861,20.77344982
301,682,,0.232412698,,-0.010339996,23.24126979
408,705,,0.334142139,,-0.010136729,33.41421385
408,498,,0.081394459,,-0.007703658,8.139445859
408,398,,0.629678552,,0.001279031,62.9678552
473,460,,0.955131368,,0.0114476,95.51313683
331,462,,0.681344201,,0.01553004,68.13442008
84,479,,0.233883319,,0.014769752,23.38833192
-50,503,,0.294712411,,0.012105953,29.47124109
-67,493,,0.596528381,,0.007846593,59.65283806
-142,500,,0.726786028,,0.003149134,72.67860284
-250,514,,0.694232463,,0.000399777,69.42324625
-292,508,,0.991425601,,-0.000797159,99.14256009
-298,537,,0.252977385,,-0.001606383,25.29773845
-235,521,,0.255769656,,-0.001863713,25.57696555
-156,553,,0.29556639,,-0.002853126,29.55663902
-73,554,,0.379066932,,-0.005187957,37.90669318
39,534,,0.783777383,,-0.007990419,78.37773825
120,544,,0.712918083,,-0.007905517,71.29180828
90,535,,0.642834457,,0.00016319,64.28344568
0,510,,0.927093734,,0.01231189,92.70937338
-193,499,,0.759277968,,0.018022448,75.92779685
-354,507,,0.385859389,,0.015123251,38.58593892
-484,499,,0.46270985,,0.008989497,46.27098499
-623,485,,0.715911537,,0.004628641,71.5911537
-531,483,,0.870487796,,0.004979144,87.04877965
-277,528,,0.016194989,,0.012634038,1.619498934
17,492,,0.309326705,,0.021927797,30.93267052
245,511,,0.353521918,,0.018201296,35.35219181
473,509,,0.299363432,,0.000430182,29.93634316
785,497,,0.571926246,,-0.015690756,57.19262463
865,502,,0.784188644,,-0.019271768,78.41886436
772,487,,0.694082603,,-0.015768592,69.40826033
566,503,,0.674849167,,-0.017352378,67.48491666
294,499,,0.355914638,,-0.024648226,35.59146375
-3,517,,0.861582209,,-0.028267698,86.15822094
-224,520,,0.236456464,,-0.023911966,23.64564644
-246,505,,0.11889091,,-0.016020803,11.88909097
-233,508,,0.458574749,,-0.008507038,45.85747485
-153,533,,0.075455313,,4.75E-05,7.545531316
-90,508,,0.785143025,,0.010244216,78.51430253
-29,519,,0.498148474,,0.019120584,49.81484735
85,509,,0.297523391,,0.022386237,29.75233909
16,491,,0.973616785,,0.01661196,97.36167854
-53,499,,0.360966122,,0.005184673,36.09661221
-73,497,,0.67377903,,-0.002368235,67.37790296
-209,514,,0.942988983,,-0.004195069,94.29889826
-368,498,,0.246885014,,-0.005919915,24.68850137
-361,595,,0.187591146,,-0.010148972,18.75911455
-279,718,,0.049145505,,-0.014401051,4.91455049
-224,654,,0.715465153,,-0.016162858,71.54651529
-92,447,,0.815739773,,-0.017272752,81.57397728
21,416,,0.204590643,,-0.016571382,20.45906434
59,457,,0.429021927,,-0.013002872,42.90219269
69,480,,0.913566694,,-0.009925547,91.3566694
37,478,,0.368553686,,-0.005152457,36.85536861
35,475,,0.240850929,,0.003058027,24.0850929
54,495,,0.068144878,,0.00670974,6.814487793
-39,502,,0.445745662,,0.002283725,44.57456618
-67,501,,0.937882371,,-0.005775993,93.78823705
-51,514,,0.385465884,,-0.014630204,38.54658843
-72,524,,0.680758453,,-0.021639638,68.07584527
-47,547,,0.208933007,,-0.025469894,20.89330068
55,528,,0.017126551,,-0.025989462,1.712655138
277,552,,0.078190759,,-0.024194086,7.819075881
429,549,,0.173399037,,-0.024446038,17.33990371
351,521,,0.854190943,,-0.027077767,85.41909432
